iso_o,iso_d,Distw,Comlang,Contig,GDP_d,GDP_o,POP_o,Pop_d,XPTOT_o,emotenss f,Remoteness,,
ABW,MDV,15591.32508,0,0,,1.56E+11,31263.57031,15580.17884,100413544,1.62E+07,1.00E-07,,
ABW,MEX,3516.020819,0,0,,31991997027,400.4666748,3199.199703,83160320,1.78E+07,1.10E-07,,
ABW,MKD,9217.800481,0,0,,91999023967,7683,9199.902397,103307848,1.62E+07,1.00E-07,,
ABW,MLI,6799.604263,0,0,,67149317376,23.46666718,6714.931738,64616828,1.64E+07,1.01E-07,,
ABW,MLT,8711.659522,1,0,,87103029623,21239,8710.302962,64559956,1.62E+07,1.00E-07,,
ABW,MMR,16303.35783,0,0,,1.64E+11,19153.60352,16418.93633,140580400,1.61E+07,9.93E-08,,
ABW,MNG,13300.45707,0,0,,1.33E+11,7187.319824,13288.17715,166584896,1.62E+07,1.00E-07,,
ABW,MOZ,12049.37915,0,0,,1.23E+11,65.33333588,12259.97779,211199232,1.59E+07,9.83E-08,,
ABW,MRT,5932.266213,0,0,,58147594372,1170.920044,5814.759437,226090592,1.65E+07,1.02E-07,,
ABW,MTQ,998.6533545,0,0,,9965593500,4416.666504,996.55935,226896496,1.62E+07,1.00E-07,,
ABW,MUS,14382.70149,1,0,,1.44E+11,6856.799805,14375.23465,283466592,1.62E+07,1.00E-07,,
ABW,MWI,11885.31188,1,0,,1.18E+11,2351.657959,11806.74826,315329024,1.63E+07,1.01E-07,,
ABW,MYS,18042.02103,0,0,,1.80E+11,515.5999756,18048.92914,358239776,1.62E+07,1.00E-07,,
ABW,NAM,10238.19805,1,0,37515112,1.02E+11,3452,10248.47415,322472288,1.62E+07,9.99E-08,,
ABW,NCL,13994.36711,0,0,,1.40E+11,4006.600098,13956.00206,349187008,1.62E+07,1.00E-07,,
ABW,NER,8090.482295,0,0,,77854970553,780.333313,7785.497055,425717120,1.68E+07,1.04E-07,,
ABW,NGA,8276.090847,1,0,,80599475527,4650.799805,8059.947553,446538432,1.66E+07,1.03E-07,,
ABW,NIC,1764.174891,0,0,,17616261704,59827.66797,1761.62617,993377.5,1.62E+07,1.00E-07,,
ABW,NLD,7908.407444,1,0,,78880583104,564.0495605,7888.05831,836966,1.62E+07,1.00E-07,,
ABW,NOR,8240.808438,0,0,182001296,82929001771,12580.58984,8292.900177,1178571.5,1.61E+07,9.94E-08,,
ABW,NPL,14806.04562,0,0,,1.48E+11,10349.04004,14813.49726,915371.3125,1.62E+07,9.99E-08,,
ABW,NRU,13620.22922,1,0,,1.36E+11,36.93333435,13599.04222,1088101,1.62E+07,1.00E-07,,
