Employee,Years
528,13
529,4
530,77.04273795
531,0.800993084
532,2.569292159
533,2.044150198
534,2.098786261
535,17.875
536,40.94175733
537,3.838485947
538,49.76811316
539,2
540,36.58555892
541,70.42786508
542,14
543,2.216822597
544,7
545,7
546,10
547,7
548,3.042670075
549,3.212448979
550,13
551,2.012359277
552,0.390109239
553,8.250427065
554,3
555,32.50543017
556,1.090401619
557,0.441887743
558,8
559,2.137068937
560,3.468682244
561,44.31278007
562,7
563,10.29683728
564,1.016540463
565,80.62400312
566,2.210683991
567,13.50670011
568,2
569,0.60002521
570,24
571,41.16030708
572,55.00550491
573,19.875
574,8
575,7
576,81.46947202
577,1.166563492
578,2.145054147
579,15
580,15
581,7
582,4
583,17.54163939
584,10
585,20.41981699
586,85.95546234
587,8.154810491
588,2.09248861
589,3.311333496
590,10
591,7
592,27.375
593,2.266454508
594,46.77370885
595,4
596,1.04969489
597,78.87180057
598,2.017402275
599,32.125
600,0.129659266
601,14
602,14
603,8.962141283
604,9
605,21.5119314
606,2.154784028
607,95.78230912
608,81.20832344
609,9
610,2.034660557
611,2.07991821
612,10
613,0.287490668
614,7
615,29.375
616,65.03294405
617,1.174768108
618,14
619,8.00449076
620,9
621,87.28479922
622,7
623,13
624,7
625,7
626,3.062631886
627,8.207969303
628,62.69085522
629,0.138833061
630,2.148169651
631,15
632,3.0502196
633,71.67227122
634,3.052009767
635,7
636,7
637,6.5
638,8.455722218
639,8.609717808
640,0.632479323
641,66.3612509
642,3.074440267
643,2.25136348
644,7
645,9.976522469
646,84.46489421
647,2.241494671
648,7
649,11.75
650,2.067519789
651,2.09316738
652,2.327080332
653,0.257655707
654,15
655,2.066124845
656,0.020480473
657,7
658,58.64535745
659,7
660,10
661,5.147045887
662,9
663,15
664,0.417501058
665,9
666,15
667,2.172431319
668,4.217614198
669,91.79688027
670,3.875
671,3.218532868
672,3
673,15
674,30
675,10
676,0.619383127
677,57.95331298
678,7
679,2
680,0.547659818
681,2.227931178
682,2.049784153
683,7
684,8
685,7.11261628
686,4.03235367
687,0.296608991
688,4
689,43.24434399
690,10
691,1.737769836
692,12
693,39.5
694,2.414005865
695,0.149470451
696,7
697,89.71839923
698,1.196439885
699,68.47890942
700,14
701,2.11264616
702,15
703,92.88008073
704,18.07349971
705,0.251883293
706,26.35110392
707,39.7483299
708,0.184530194
709,2.310900391
710,38.05360087
711,2.686019396
712,63.6735405
713,9
714,20.19194614
715,7.402755025
716,11.68546913
717,2
718,3.026415415
719,3.222594964
720,7.8336444
721,2.455442579
722,10
723,10
724,17.93486575
725,2
726,72.50753114
727,28.93367287
728,0.513436236
729,7
730,46.42146659
731,7
732,7
733,12.11783528
734,9.070154398
735,9.125
736,69.79489459
737,4
738,7.097456176
739,15
740,28.67333578
741,0.280061204
742,5.123629065
743,7
