value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,,,,
-22101.70383,27041,-0.817340477,-17232.91769,26500.18,-0.650294364,,,,
-32352.73015,39337,-0.822450369,-24480.13767,38550.26,-0.635018744,,,,
-11606,23541,-0.493012191,-5956.85426,22599.36,-0.263585086,,,,
-21490,28453,-0.755280638,-14657.29658,27314.88,-0.536604832,,,,
-23120,35059,-0.659459768,-16103.57221,34357.82,-0.468701804,,,,
-22404.73124,24382,-0.91890457,-16549.63776,24382,-0.67876457,,,,
-24851,33864,-0.733847153,-17396.85632,32509.44,-0.535132451,,,,
-38417,40435,-0.950092741,-38417,40435,-0.950092741,,,,
-5925.993457,13841,-0.428147782,-2048.575717,12733.72,-0.160878024,,,,
-29625.83783,39555,-0.74897833,-21710.73461,37181.7,-0.583909144,,,,
-14847.98623,18757,-0.791597069,-14847.98623,18757,-0.791597069,,,,
-26054,38008,-0.685487266,-18447.38294,37247.84,-0.495260475,,,,
-32439,43411,-0.747253,-22885.97534,39069.9,-0.58577,,,,
-25135,33118,-0.758952835,-18507.02842,32455.64,-0.570225342,,,,
-34702,50643,-0.685227968,-23560.54,39501.54,-0.596446113,,,,
-35794,49756,-0.719390626,-25837.8244,47765.76,-0.540927736,,,,
-39665,59670,-0.6647394,-27729.44323,53703,-0.516348123,,,,
-30110.375,33074,-0.910394116,-30110.375,33074,-0.910394116,,,,
-25273,33256,-0.759953091,-18617.9423,32590.88,-0.571262338,,,,
-21539,30534,-0.705410362,-15427.05566,29923.32,-0.515552942,,,,
-27993,40959,-0.683439537,-19797.92328,36043.92,-0.549272201,,,,
-19353,22368,-0.865209227,-19353,22368,-0.865209227,,,,
-25383,32332,-0.785073611,-18265.43352,31685.36,-0.576462869,,,,
-8970,11915,-0.752832564,-6108.7319,11915,-0.512692564,,,,
-44872,53895,-0.832581872,-34092.28464,49583.4,-0.687574564,,,,
-31270,33276,-0.939716312,-31270,33276,-0.939716312,,,,
-7209,22142,-0.325580345,-2335.98864,19042.12,-0.12267482,,,,
-14655.81502,37626,-0.38951297,-7879.4474,34615.92,-0.22762496,,,,
-28957,40944,-0.707234271,-20764.1056,36849.6,-0.563482524,,,,
-14397.75,27352,-0.526387467,-7836.950332,26257.92,-0.298460439,,,,
-11445,28376,-0.403333803,-5768.8924,25538.4,-0.225890909,,,,
-23164,31105,-0.744703424,-15694.4453,29860.8,-0.5255869,,,,
-32276.375,34245,-0.942513506,-32276.375,34245,-0.942513506,,,,
-11803.09726,13736,-0.859281979,-9054.846848,13736,-0.659205507,,,,
-12010,13961,-0.860253563,-7819.46624,13961,-0.560093563,,,,
-19445,27388,-0.709982474,-13961.76234,26840.24,-0.520180234,,,,
-21680,41687,-0.520066208,-12504.60068,38352.04,-0.326047863,,,,
-13716,21706,-0.631899014,-8503.52116,20837.76,-0.408082306,,,,
-23425,31375,-0.746613546,-16516.8988,30747.5,-0.537178594,,,,
-39656.875,46617,-0.850695562,-30327.32156,45684.66,-0.663840369,,,,
