r1,r2
34048,30643.2
23019,22558.62
16721,16052.16
21752,20011.84
26286,26286
15564,15564
46168,39704.48
35729,35014.42
32911,31594.56
15730,15415.4
33231,33231
35883,35165.34
35649,34936.02
29643,29050.14
35150,31635
34035,33354.3
28599,27455.04
34658,33964.84
34339,34339
35917,33761.98
31672,31672
33054,32392.92
21541,21110.18
49119,48136.62
26606,25541.76
49932,48933.36
15893,15257.28
25487,24467.52
33352,30683.84
22359,21017.46
30341,30341
24848,24351.04
34169,30752.1
28545,27974.1
26493,26493
14468,13889.28
31751,31751
47511,43710.12
31951,25560.8
16480,16480
32212,32212
54063,50819.22
20175,20175
32895,32237.1
17274,17274
34083,33401.34
26679,25611.84
42190,40502.4
47695,43879.4
30419,29202.24
34791,29920.26
16534,15872.64
24818,24321.64
45965,43207.1
41177,40353.46
34992,34292.16
34414,33725.72
55283,51966.02
40572,40572
21879,21879
27537,27537
29028,28447.44
26117,25072.32
24890,24392.2
40977,38518.38
13858,13858
20281,19875.38
34715,33326.4
25055,24052.8
38720,37945.6
36932,36193.36
35480,31222.4
26945,26945
30610,29997.8
26046,25525.08
23095,22171.2
28598,28026.04
29028,29028
36468,35738.64
14471,14471
23381,22445.76
26912,26373.76
36828,36828
34378,31627.76
29321,28734.58
36776,36040.48
19926,19527.48
25035,24534.3
18976,18976
21404,20119.76
14466,13887.36
17057,16715.86
27241,25061.72
19317,19317
20071,19669.58
23253,22787.94
20821,20404.58
27793,27793
28527,27956.46
39707,38912.86
17139,14739.54
38292,37526.16
15651,15651
39815,37426.1
18207,17478.72
26699,26165.02
19127,19127
15011,15011
33025,30383
19706,19311.88
22727,22272.46
24345,24345
38183,37419.34
33573,30887.16
56321,54068.16
22024,21583.52
35357,34649.86
25689,24661.44
52934,50816.64
13816,13816
34893,34893
29231,28646.38
32066,31424.68
39042,39042
25578,25066.44
42280,41434.4
41653,40819.94
22142,22142
16086,15442.56
19756,17780.4
25631,25631
37006,37006
39598,38014.08
