iso_o,iso_d,Distw,Dist_coord,Evercol,Comlang,Contig
ADEN,ISL,,7623.912474,0,0,0
ADEN,ISR,,2386.326352,0,1,0
ADEN,ITA,,4510.449997,0,0,0
ADEN,ITAEAFRI,,1194.788556,0,0,0
ADEN,JAM,,2953.600617,0,1,0
ADEN,JOR,,2325.623149,0,1,0
ADEN,JPN,,9595.337745,0,0,0
ADEN,KEN,,1806.620744,0,1,0
ADEN,KHM,,6496.623771,0,0,0
ADEN,KOR,,8442.523202,0,1,0
ADEN,KWT,,1870.398708,0,1,0
ADEN,LAO,,6177.186881,0,0,0
ADEN,LBN,,2538.133128,0,1,0
ADEN,LBR,,6153.0207,0,1,0
ADEN,LBY,,3929.951113,0,1,0
ADEN,LCA,,11338.66298,0,1,0
ADEN,LKA,,3865.597274,0,0,0
ADEN,MAC,,7287.49245,0,0,0
ADEN,MAR,,5781.132243,0,1,0
ADEN,MDG,,3533.877907,0,0,0
ADEN,MEX,,14702.27948,0,0,0
ADEN,MLI,,5740.95917,0,0,0
ADEN,MLT,,3989.719301,0,1,0
ADEN,MMR,,5500.444147,0,0,0
ADEN,MOZ,,2269.656831,0,0,0
ADEN,MRT,,6535.208853,0,0,0
ADEN,MUS,,3908.618457,0,1,0
ADEN,MWI,,3222.77014,0,1,0
ADEN,MYS,,6317.621369,0,0,0
ADEN,NER,,4642.293976,0,0,0
ADEN,NGA,,4612.481097,0,1,0
ADEN,NIC,,13969.20838,0,0,0
ADEN,NLD,,5661.886969,0,0,0
ADEN,NOR,,5948.090925,0,0,0
ADEN,NZL,,14223.3916,0,1,0
ADEN,OMN,,1868.487067,0,1,1
ADEN,OTTO,,3506.81302,0,0,0
ADEN,PAK,,2668.07859,0,1,0
ADEN,PAN,,13432.03109,0,0,0
ADEN,PER,,13735.9561,0,0,0
ADEN,PHL,,8166.591275,0,1,0
ADEN,PNG,,11541.17866,0,1,0
ADEN,POL,,4883.158292,0,0,0
ADEN,PRT,,6035.74933,0,0,0
ADEN,PRTIND,,3117.986985,0,0,0
ADEN,PRY,,11866.50621,0,0,0
