value predictor(x_i),resource consumption(x_i),def_value1,value predictor(x_change),resource consumption(x_change),def_value2,diff_1,change_1,change_1  pct,diff_2,change_2,change_2 pct,,Employee,dc1 diff,dc1 ,dc1 pct,dc2 diff
-14433.875,29453,-0.490064679,-7952.44782,24740.52,-0.321434142,6481.42718,0.449042768,44.90427678,0.168630537,0.344098533,34.40985331,,79,0.168630537,0.344098533,34.40985331,
-30454,30404,-1.00164452,-30454.43737,30404,-1.001658906,-0.437372811,-1.43618E-05,-0.001436175,-1.43854E-05,-1.43618E-05,-0.001436175,,80,-1.43854E-05,-1.43618E-05,-0.001436175,
-38779,48767,-0.79518937,-28046.35864,44865.64,-0.62511888,10732.64136,0.276764263,27.67642631,0.17007049,0.213874199,21.38741991,,81,0.17007049,0.213874199,21.38741991,
-23899.71051,30871,-0.774179991,-16486.37309,29636.16,-0.556292485,7413.337421,0.310185239,31.01852392,0.217887506,0.281442957,28.14429575,,82,0.217887506,0.281442957,28.14429575,
-13229,16204,-0.816403357,-13229,16204,-0.816403357,0,0,0,0,0,0,,83,0,0,0,
-38909.56811,39963,-0.97363982,-38909.82521,39963,-0.973646253,-0.257099349,-6.60761E-06,-0.000660761,-6.43343E-06,-6.60761E-06,-0.000660761,,84,-6.43343E-06,-6.60761E-06,-0.000660761,
-27609.63946,35574,-0.776118498,-22625.70801,34862.52,-0.648998065,4983.931455,0.180514181,18.0514181,0.127120434,0.163789981,16.37899806,,85,0.127120434,0.163789981,16.37899806,
-19026.59035,20961,-0.907713866,-19027.94357,20961,-0.907778425,-1.353220571,-7.11226E-05,-0.00711226,-6.4559E-05,-7.11226E-05,-0.00711226,,86,-6.4559E-05,-7.11226E-05,-0.00711226,
-17944,20956,-0.856270281,-17944,20956,-0.856270281,0,0,0,0,0,0,,87,0,0,0,
-22125,29053,-0.761539256,-15729.27258,28471.94,-0.55244822,6395.72742,0.289072426,28.90724258,0.209091036,0.2745637,27.45636998,,88,0.209091036,0.2745637,27.45636998,
-42167,50186,-0.840214402,-31121.46289,46171.12,-0.67404609,11045.53711,0.261947426,26.1947426,0.166168313,0.197768941,19.77689413,,89,0.166168313,0.197768941,19.77689413,
-29063,35042,-0.829376177,-21351.55496,34341.16,-0.621748216,7711.44504,0.265335479,26.53354795,0.207627961,0.250342326,25.0342326,,90,0.207627961,0.250342326,25.0342326,
-31116.95266,43066,-0.722541045,-23359.73248,42204.68,-0.553486781,7757.220184,0.249292412,24.9292412,0.169054264,0.233971849,23.3971849,,91,0.169054264,0.233971849,23.3971849,
-27243.54515,32190,-0.846335668,-21448.94992,31546.2,-0.679921826,5794.595229,0.212696079,21.26960789,0.166413841,0.196628652,19.6628652,,92,0.166413841,0.196628652,19.6628652,
-34689.375,40736,-0.851565569,-25739.83661,39921.28,-0.644764813,8949.538385,0.257990765,25.79907648,0.206800756,0.242847719,24.28477191,,93,0.206800756,0.242847719,24.28477191,
-31321,34341,-0.912058472,-31321,34341,-0.912058472,0,0,0,0,0,0,,94,0,0,0,
-17193,24158,-0.711689709,-11391.69788,23191.68,-0.491197614,5801.30212,0.33742233,33.742233,0.220492095,0.309814927,30.98149271,,95,0.220492095,0.309814927,30.98149271,
-20556,28536,-0.720353238,-14274.08496,27965.28,-0.510421671,6281.91504,0.30560007,30.56000701,0.209931567,0.291428643,29.14286429,,96,0.209931567,0.291428643,29.14286429,
-23181,26123,-0.887378938,-18998.08075,26123,-0.727254938,4182.919252,0.180446023,18.04460227,0.160124,0.180446023,18.04460227,,97,0.160124,0.180446023,18.04460227,
-18595,24600,-0.755894309,-12689.6224,23124,-0.548764158,5905.3776,0.31757879,31.757879,0.20713015,0.274019989,27.40199894,,98,0.20713015,0.274019989,27.40199894,
-34213,50157,-0.682118149,-23178.46,39122.46,-0.592459165,11034.54,0.322524771,32.25247713,0.089658984,0.131442014,13.14420145,,99,0.089658984,0.131442014,13.14420145,
-6349,13318,-0.476723232,-2886.42548,12518.92,-0.230565055,3462.57452,0.545373212,54.53732115,0.246158177,0.51635448,51.63544804,,100,0.246158177,0.51635448,51.63544804,
-36860.47017,54847,-0.672059915,-25887.77935,47168.42,-0.548837111,10972.69082,0.297681792,29.76817922,0.123222805,0.183350921,18.33509211,,101,0.123222805,0.183350921,18.33509211,
-26309,48235,-0.545433814,-18586.48329,45340.9,-0.409927533,7722.516705,0.293531366,29.35313659,0.13550628,0.248437623,24.84376233,,102,0.13550628,0.248437623,24.84376233,
-22448,29376,-0.76416122,-15981.16736,28788.48,-0.555123694,6466.83264,0.28808057,28.80805702,0.209037526,0.273551602,27.35516023,,103,0.209037526,0.273551602,27.35516023,
-26633.125,31683,-0.840612474,-20294.75075,31049.34,-0.653629055,6338.374248,0.237988379,23.79883791,0.186983419,0.222437121,22.24371215,,104,0.186983419,0.222437121,22.24371215,
-26538.80148,29509,-0.899346012,-21813.70236,29509,-0.739222012,4725.099116,0.178044932,17.80449324,0.160124,0.178044932,17.80449324,,105,0.160124,0.178044932,17.80449324,
-22508.81693,29416,-0.765189588,-16621.84709,28827.68,-0.576593298,5886.969841,0.261540616,26.15406158,0.18859629,0.246470016,24.64700161,,106,0.18859629,0.246470016,24.64700161,
-12629,14586,-0.865830248,-9417.979616,14586,-0.645686248,3211.020384,0.254257691,25.42576913,0.220144,0.254257691,25.42576913,,107,0.220144,0.254257691,25.42576913,
