Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change
9.040046664,9.642467049,,771,6.663907913
2.07,87.20221384,,772,4112.667335
7,7,,773,0
7.67,14,,774,82.52933507
7,7,,775,0
8,47.41079298,,776,492.6349123
7,7,,777,0
7,7,,778,0
11.75,43.45704042,,779,269.8471525
9,9,,780,0
7,2.659798356,,781,-62.00288063
14,8.065754001,,782,-42.38747142
10,10,,783,0
7,7,,784,0
2.116727422,2.183966247,,785,3.176546224
9,15,,786,66.66666667
16,79.06573627,,787,394.1608517
3.095426526,4.727100916,,788,52.71242513
7,7,,789,0
9.263934313,11.0170402,,790,18.92398875
7,62.30025931,,791,790.0037044
9,79.40399334,,792,782.2665927
4,2.203557879,,793,-44.91105303
4,2.151500032,,794,-46.2124992
9.204014956,8.306913985,,795,-9.746843908
12.25,12.25,,796,0
3,0.125231618,,797,-95.82561273
7,2.994009035,,798,-57.22844236
0.02,0.125134562,,799,525.67281
7.74,35.73509452,,800,361.6937276
3,3,,801,0
16,61.43847728,,802,283.990483
7,50.52684228,,803,621.8120326
18.625,40.92969404,,804,119.7567465
7.246082794,55.896376,,805,671.401288
2.15191925,2.372572323,,806,10.25378034
11,28.79394687,,807,161.7631534
4,3.050513841,,808,-23.73715398
4.040958665,10,,809,147.4660304
7,7,,810,0
2.003826348,2.369490122,,811,18.24827657
6.25,13,,812,108
8,12,,813,50
4,2.112600639,,814,-47.18498403
7,10,,815,42.85714286
3,3,,816,0
4,3.437883706,,817,-14.05290735
7.127628652,7.205928117,,818,1.098534573
4,4,,819,0
3.081247554,3.314575424,,820,7.572512948
7.030591482,15,,821,113.3533151
9,67.98595434,,822,655.3994927
3,2.060997334,,823,-31.30008887
2.03599749,2.142212825,,824,5.216869644
2.073457541,2.005213481,,825,-3.291316974
7,87.62539186,,826,1151.791312
14,15,,827,7.142857143
9,9,,828,0
15,14,,829,-6.666666667
7.181153677,7.005438561,,830,-2.446892573
4.085222521,4.085222521,,831,0
3,2.566024988,,832,-14.46583373
7,3.885735066,,833,-44.48949906
3.030291095,14.375,,834,374.3768684
2,1.095836913,,835,-45.20815435
7,4.368479161,,836,-37.59315484
4,2.030535461,,837,-49.23661348
5,32.22683396,,838,544.5366792
7,102.5231876,,839,1364.616966
4,34.84417517,,840,771.1043793
17,90.41520534,,841,431.8541491
9.5,48.48825901,,842,410.4027264
4,4,,843,0
9,9,,844,0
3,13,,845,333.3333333
9,75.84988549,,846,742.7765054
