Expected Tenure 1,Expected Tenure 2,,Employee,Percentage Change,,change,difference
2,58.25151349,,414,2812.575675,,28.12575675,56.25151349
5.192980149,0.414566469,,415,-92.0167908,,-0.920167908,-4.77841368
2,9,,416,350,,3.5,7
9,23.13609491,,417,157.0677212,,1.570677212,14.13609491
13,60.57912533,,418,365.9932718,,3.659932718,47.57912533
4,9,,419,125,,1.25,5
9,2.504237504,,420,-72.17513884,,-0.721751388,-6.495762496
4,78.51830774,,421,1862.957694,,18.62957694,74.51830774
11,12.5,,422,13.63636364,,0.136363636,1.5
11,9,,423,-18.18181818,,-0.181818182,-2
7.51,2.112932335,,424,-71.86508209,,-0.718650821,-5.397067665
2.01572371,2.017078385,,425,0.067205391,,0.000672054,0.001354675
2.008740555,0.114673128,,426,-94.29129224,,-0.942912922,-1.894067427
0.01,26.61410074,,427,266041.0074,,2660.410074,26.60410074
2.011965881,2.038457187,,428,1.316687636,,0.013166876,0.026491306
4,13.875,,429,246.875,,2.46875,9.875
14,13.75,,430,-1.785714286,,-0.017857143,-0.25
7,2.471473771,,431,-64.69323184,,-0.646932318,-4.528526229
4,29.375,,432,634.375,,6.34375,25.375
10,0.444045235,,433,-95.55954765,,-0.955595477,-9.555954765
0.121858032,8.242523968,,434,6664.03831,,66.6403831,8.120665936
8.043639393,8,,435,-0.542532936,,-0.005425329,-0.043639393
8,7.828848495,,436,-2.139393813,,-0.021393938,-0.171151505
9.998629162,8,,437,-19.98903179,,-0.199890318,-1.998629162
8,64.25844103,,438,703.2305129,,7.032305129,56.25844103
7,8,,439,14.28571429,,0.142857143,1
8,10.09240282,,440,26.15503525,,0.261550353,2.09240282
15,12,,441,-20,,-0.2,-3
12.125,25.125,,442,107.2164948,,1.072164948,13
13,7,,443,-46.15384615,,-0.461538462,-6
7,7,,444,0,,0,0
7,2.2606113,,445,-67.70555286,,-0.677055529,-4.7393887
4,10,,446,150,,1.5,6
15,7.638691006,,447,-49.07539329,,-0.490753933,-7.361308994
15,2.012575644,,448,-86.58282904,,-0.86582829,-12.98742436
2.05,8.459957349,,449,312.6808463,,3.126808463,6.409957349
8.11,0.127375141,,450,-98.4294064,,-0.984294064,-7.982624859
7,2.27120872,,451,-67.55416114,,-0.675541611,-4.72879128
7,15,,452,114.2857143,,1.142857143,8
7,87.91401033,,453,1155.914433,,11.55914433,80.91401033
19.25,0.046674831,,454,-99.75753335,,-0.997575333,-19.20332517
0.05,4,,455,7900,,79,3.95
4,2,,456,-50,,-0.5,-2
7,4,,457,-42.85714286,,-0.428571429,-3
3.40272448,3.462688023,,458,1.762221518,,0.017622215,0.059963543
3.443538659,11.625,,459,237.5887757,,2.375887757,8.181461341
11.625,2.101920925,,460,-81.91895978,,-0.819189598,-9.523079075
4,7,,461,75,,0.75,3
7,59.3390689,,462,747.7009843,,7.477009843,52.3390689
2.059250926,2.150084355,,463,4.410993719,,0.044109937,0.090833429
2.05,0.536015372,,464,-73.85290868,,-0.738529087,-1.513984628
7,23.625,,465,237.5,,2.375,16.625
8,0.078263067,,466,-99.02171166,,-0.990217117,-7.921736933
2,0.266913851,,467,-86.65430745,,-0.866543075,-1.733086149
2,7,,468,250,,2.5,5
7,77.26950658,,469,1003.850094,,10.03850094,70.26950658
5,53.72873101,,470,974.5746202,,9.745746202,48.72873101
7.06,77.01696509,,471,990.8918568,,9.908918568,69.95696509
4,61.4328003,,472,1435.820008,,14.35820008,57.4328003
5.663570912,8,,473,41.25363881,,0.412536388,2.336429088
