Expected Tenure 1,Expected Tenure 2,,,,,
9,17.54163939,,,,,
8,10,,,,,
14.25,20.41981699,,,,,
7,85.95546234,,,,,
8.529364638,8.154810491,,,,,
4,2.09248861,,,,,
3.255273255,3.311333496,,,,,
7,10,,,,,
7,7,,,,,
16,27.375,,,,,
2.0010739,2.266454508,,,,,
8,46.77370885,,,,,
4,4,,,,,
1.04,1.04969489,,,,,
12,78.87180057,,,,,
3,2.017402275,,,,,
3.299741842,32.125,,,,,
0.119095218,0.129659266,,,,,
8,14,,,,,
10,14,,,,,
7.650501396,8.962141283,,,,,
8,9,,,,,
4,21.5119314,,,,,
7,2.154784028,,,,,
11,95.78230912,,,,,
2.1,81.20832344,,,,,
7,9,,,,,
2.001178842,2.034660557,,,,,
2.093270687,2.07991821,,,,,
2,10,,,,,
0.02,0.287490668,,,,,
7,7,,,,,
11.25,29.375,,,,,
16,65.03294405,,,,,
0.04,1.174768108,,,,,
11.08016709,14,,,,,
7.241328676,8.00449076,,,,,
8,9,,,,,
2.021785495,87.28479922,,,,,
7,7,,,,,
7.04,13,,,,,
7,7,,,,,
7,7,,,,,
3.153870258,3.062631886,,,,,
7.293750602,8.207969303,,,,,
2,62.69085522,,,,,
0.02,0.138833061,,,,,
2.202171701,2.148169651,,,,,
7,15,,,,,
3.0502196,3.0502196,,,,,
8,71.67227122,,,,,
3.314621002,3.052009767,,,,,
15,7,,,,,
7,7,,,,,
4,6.5,,,,,
9,8.455722218,,,,,
7.24,8.609717808,,,,,
3,0.632479323,,,,,
13,66.3612509,,,,,
4,3.074440267,,,,,
2.538028307,2.25136348,,,,,
7,7,,,,,
9.687149438,9.976522469,,,,,
10.375,84.46489421,,,,,
2.096488266,2.241494671,,,,,
7,7,,,,,
11.75,11.75,,,,,
7,2.067519789,,,,,
2.039756731,2.09316738,,,,,
7,2.327080332,,,,,
2,0.257655707,,,,,
7,15,,,,,
8,2.066124845,,,,,
2,0.020480473,,,,,
7,7,,,,,
10,58.64535745,,,,,
7,7,,,,,
7.19,10,,,,,
5.01,5.147045887,,,,,
9.75,9,,,,,
15,15,,,,,
2,0.417501058,,,,,
7.01,9,,,,,
15,15,,,,,
2.07,2.172431319,,,,,
4.217614198,4.217614198,,,,,
9,91.79688027,,,,,
2.358334935,3.875,,,,,
4,3.218532868,,,,,
3,3,,,,,
9,15,,,,,
3,30,,,,,
5,10,,,,,
3,0.619383127,,,,,
12,57.95331298,,,,,
7,7,,,,,
2,2,,,,,
4,0.547659818,,,,,
7,2.227931178,,,,,
2.185265625,2.049784153,,,,,
6,7,,,,,
4.03,8,,,,,
15,7.11261628,,,,,
4.032294102,4.03235367,,,,,
4,0.296608991,,,,,
4,4,,,,,
13,43.24434399,,,,,
8,10,,,,,
3,1.737769836,,,,,
7.034354333,12,,,,,
21.375,39.5,,,,,
2.056105713,2.414005865,,,,,
0.280383793,0.149470451,,,,,
7,7,,,,,
8,89.71839923,,,,,
1.049339044,1.196439885,,,,,
2.017074905,68.47890942,,,,,
8.335183793,14,,,,,
2.025690376,2.11264616,,,,,
10,15,,,,,
4,92.88008073,,,,,
38,18.07349971,,,,,
0.07,0.251883293,,,,,
7,26.35110392,,,,,
3.305047992,39.7483299,,,,,
2,0.184530194,,,,,
7,2.310900391,,,,,
5,38.05360087,,,,,
7,2.686019396,,,,,
7,63.6735405,,,,,
7,9,,,,,
13,20.19194614,,,,,
7.102617722,7.402755025,,,,,
11.85331182,11.68546913,,,,,
2,2,,,,,
7,3.026415415,,,,,
3.09628375,3.222594964,,,,,
7.022436676,7.8336444,,,,,
2.125,2.455442579,,,,,
10,10,,,,,
7.063576105,10,,,,,
10,17.93486575,,,,,
3,2,,,,,
4,72.50753114,,,,,
13,28.93367287,,,,,
7,0.513436236,,,,,
7,7,,,,,
10.375,46.42146659,,,,,
7,7,,,,,
8,7,,,,,
2.010676534,12.11783528,,,,,
15,9.070154398,,,,,
7,9.125,,,,,
9,69.79489459,,,,,
4,4,,,,,
15,7.097456176,,,,,
7,15,,,,,
10,28.67333578,,,,,
0.02,0.280061204,,,,,
3.230114573,5.123629065,,,,,
7,7,,,,,
7,10,,,,,
10,10,,,,,
2,0.06860601,,,,,
10,10,,,,,
11.75,68.19474333,,,,,
0.369116305,0.130232087,,,,,
0.217241689,0.236259554,,,,,
5.52,7,,,,,
9.145771748,9.012088873,,,,,
7,10,,,,,
4,2.065305203,,,,,
10.01608184,11.81516614,,,,,
7,9,,,,,
8.079639775,33.125,,,,,
4,2.090042594,,,,,
15,11.16254758,,,,,
9.25,27.625,,,,,
4,2.045964164,,,,,
2,0.045351307,,,,,
7.114756602,12,,,,,
2.053268508,9.875,,,,,
2,7,,,,,
7,4.378262268,,,,,
2.147406551,2.147406551,,,,,
2.061774397,3.375,,,,,
8,35.06417491,,,,,
7,15,,,,,
9.040046664,9.642467049,,,,,
2.07,87.20221384,,,,,
7,7,,,,,
7.67,14,,,,,
7,7,,,,,
8,47.41079298,,,,,
7,7,,,,,
7,7,,,,,
11.75,43.45704042,,,,,
9,9,,,,,
7,2.659798356,,,,,
14,8.065754001,,,,,
