r1,r2,e
38103,37340.94,904
9990,9990,905
25444,24935.12,906
31047,31047,907
15667,14726.98,908
42023,36980.24,909
31160,28667.2,910
36745,36010.1,911
36716,36716,912
30682,30682,913
16052,16052,914
47912,45995.52,915
45036,44135.28,916
29326,28739.48,917
23802,23802,918
27624,27071.52,919
37425,36676.5,920
29223,25131.78,921
28779,28203.42,922
28173,28173,923
36337,35610.26,924
38461,37691.78,925
28005,27444.9,926
29512,29512,927
51308,48229.52,928
27843,26729.28,929
18668,18668,930
31524,30893.52,931
26014,25493.72,932
34146,33463.08,933
25306,25306,934
15035,15035,935
22357,21015.58,936
44331,39011.28,937
46114,45191.72,938
22876,22418.48,939
39575,34826,940
49034,49034,941
42505,41654.9,942
34048,30643.2,943
23019,22558.62,944
16721,16052.16,945
21752,20011.84,946
26286,26286,947
15564,15564,948
46168,39704.48,949
35729,35014.42,950
32911,31594.56,951
15730,15415.4,952
33231,33231,953
35883,35165.34,954
35649,34936.02,955
29643,29050.14,956
35150,31635,957
34035,33354.3,958
28599,27455.04,959
34658,33964.84,960
34339,34339,961
35917,33761.98,962
31672,31672,963
33054,32392.92,964
21541,21110.18,965
49119,48136.62,966
26606,25541.76,967
49932,48933.36,968
15893,15257.28,969
25487,24467.52,970
33352,30683.84,971
22359,21017.46,972
30341,30341,973
24848,24351.04,974
34169,30752.1,975
28545,27974.1,976
26493,26493,977
14468,13889.28,978
31751,31751,979
47511,43710.12,980
31951,25560.8,981
16480,16480,982
32212,32212,983
54063,50819.22,984
20175,20175,985
32895,32237.1,986
17274,17274,987
34083,33401.34,988
26679,25611.84,989
42190,40502.4,990
47695,43879.4,991
30419,29202.24,992
34791,29920.26,993
16534,15872.64,994
24818,24321.64,995
45965,43207.1,996
41177,40353.46,997
34992,34292.16,998
34414,33725.72,999
55283,51966.02,1000
40572,40572,1001
21879,21879,1002
27537,27537,1003
29028,28447.44,1004
26117,25072.32,1005
24890,24392.2,1006
40977,38518.38,1007
13858,13858,1008
20281,19875.38,1009
34715,33326.4,1010
25055,24052.8,1011
38720,37945.6,1012
36932,36193.36,1013
35480,31222.4,1014
26945,26945,1015
30610,29997.8,1016
26046,25525.08,1017
23095,22171.2,1018
28598,28026.04,1019
29028,29028,1020
36468,35738.64,1021
14471,14471,1022
23381,22445.76,1023
26912,26373.76,1024
36828,36828,1025
34378,31627.76,1026
29321,28734.58,1027
36776,36040.48,1028
19926,19527.48,1029
25035,24534.3,1030
18976,18976,1031
21404,20119.76,1032
14466,13887.36,1033
17057,16715.86,1034
27241,25061.72,1035
19317,19317,1036
20071,19669.58,1037
23253,22787.94,1038
20821,20404.58,1039
27793,27793,1040
28527,27956.46,1041
39707,38912.86,1042
17139,14739.54,1043
38292,37526.16,1044
15651,15651,1045
39815,37426.1,1046
18207,17478.72,1047
26699,26165.02,1048
19127,19127,1049
15011,15011,1050
33025,30383,1051
19706,19311.88,1052
22727,22272.46,1053
24345,24345,1054
38183,37419.34,1055
33573,30887.16,1056
56321,54068.16,1057
22024,21583.52,1058
35357,34649.86,1059
25689,24661.44,1060
52934,50816.64,1061
13816,13816,1062
34893,34893,1063
29231,28646.38,1064
32066,31424.68,1065
39042,39042,1066
25578,25066.44,1067
42280,41434.4,1068
41653,40819.94,1069
22142,22142,1070
16086,15442.56,1071
19756,17780.4,1072
25631,25631,1073
37006,37006,1074
39598,38014.08,1075
24362,23387.52,1076
42384,38145.6,1077
29057,28475.86,1078
40081,32866.42,1079
29759,29759,1080
25847,25847,1081
45701,44786.98,1082
16498,16498,1083
24767,23776.32,1084
44737,42052.78,1085
44218,43333.64,1086
19586,19194.28,1087
39605,37228.7,1088
23946,23467.08,1089
29981,29381.38,1090
37039,32594.32,1091
25527,24505.92,1092
24372,23884.56,1093
18381,18381,1094
46627,44761.92,1095
14963,14963,1096
38408,37639.84,1097
33965,33285.7,1098
41343,33901.26,1099
31502,30871.96,1100
19389,19001.22,1101
39041,38260.18,1102
20452,20042.96,1103
9723,9723,1104
38273,36742.08,1105
20480,20070.4,1106
41253,40427.94,1107
21734,21734,1108
32283,29700.36,1109
21286,20434.56,1110
21590,21590,1111
44754,44754,1112
37472,37472,1113
41749,36739.12,1114
26878,26340.44,1115
18473,17734.08,1116
15720,14776.8,1117
21999,21119.04,1118
30132,29529.36,1119
53637,49346.04,1120
24038,24038,1121
25655,25141.9,1122
32395,32395,1123
42350,41503,1124
16322,15342.68,1125
44951,43152.96,1126
26323,25796.54,1127
39008,38227.84,1128
32728,30764.32,1129
24567,24075.66,1130
33664,32990.72,1131
39571,38779.58,1132
37586,36834.28,1133
34777,34081.46,1134
28333,28333,1135
25480,24970.4,1136
23742,20418.12,1137
29207,28038.72,1138
18114,18114,1139
38872,34207.36,1140
16974,15955.56,1141
17653,16593.82,1142
40978,40158.44,1143
17761,16695.34,1144
35151,33744.96,1145
26333,25806.34,1146
34642,31177.8,1147
37241,36496.18,1148
30270,29664.6,1149
41963,40284.48,1150
22406,21957.88,1151
29218,28633.64,1152
8369,8369,1153
16036,15073.84,1154
16399,16399,1155
20595,20595,1156
39781,38985.38,1157
29030,28449.4,1158
21734,21299.32,1159
35355,31819.5,1160
22899,20609.1,1161
18735,18735,1162
22014,22014,1163
15158,15158,1164
22190,22190,1165
41526,39864.96,1166
47350,41668,1167
30957,30957,1168
21659,18193.56,1169
50636,49623.28,1170
38941,38162.18,1171
41558,40726.84,1172
21478,21478,1173
45590,44678.2,1174
32795,32795,1175
21508,21508,1176
22890,22432.2,1177
45864,41277.6,1178
19379,18991.42,1179
25151,25151,1180
14736,14736,1181
19252,18481.92,1182
25897,25897,1183
40760,39944.8,1184
26397,25341.12,1185
16614,15617.16,1186
31113,28001.7,1187
25156,24652.88,1188
32836,32179.28,1189
43350,41616,1190
32382,31734.36,1191
23580,23580,1192
30191,27775.72,1193
38032,34989.44,1194
22023,22023,1195
20009,19608.82,1196
27527,26976.46,1197
11564,11564,1198
24783,24287.34,1199
48255,47289.9,1200
36376,35648.48,1201
27973,26854.08,1202
36855,36117.9,1203
18895,18895,1204
34360,33672.8,1205
37838,37838,1206
32896,32238.08,1207
38011,34209.9,1208
40209,39404.82,1209
38492,38492,1210
27792,27236.16,1211
28394,27826.12,1212
25143,24640.14,1213
32095,30169.3,1214
18256,18256,1215
28625,28625,1216
17670,17316.6,1217
29141,28558.18,1218
31557,31557,1219
8856,8856,1220
48482,42664.16,1221
32744,32089.12,1222
22216,21771.68,1223
36082,35360.36,1224
15742,15742,1225
28581,28009.38,1226
16048,16048,1227
27511,27511,1228
28745,25870.5,1229
42061,39537.34,1230
16471,16141.58,1231
27656,27102.88,1232
18260,18260,1233
